"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",39,156,558,93,"TB",0.7948,"spotrac",1.014,1.27579265223956,1,"Undervalued"
"Luis García Jr.",30,136,474,91,NA,0.72,"league_minimum_default",0.828,1.15,0.998019801980198,"Undervalued"
"Yandy Díaz",22,171,561,80,NA,0.72,"league_minimum_default",0.821,1.14027777777778,0.996039603960396,"Undervalued"
"Sal Stewart",31,149,559,107,"CIN",0.7815,"spotrac",0.881,1.12731925783749,0.994059405940594,"Undervalued"
"Jordan Walker",28,157,558,100,"STL",0.7994,"spotrac",0.863,1.07955966975231,0.992079207920792,"Undervalued"
"Ben Rice",36,134,524,88,"NYY",0.8458,"spotrac",0.906,1.07117521872783,0.99009900990099,"Undervalued"
"Hunter Goodman",37,115,471,78,"COL",0.81,"spotrac",0.863,1.06543209876543,0.988118811881188,"Undervalued"
"Miguel Vargas",30,132,533,79,"CHW",0.8057,"spotrac",0.816,1.01278391460841,0.986138613861386,"Undervalued"
"Elly De La Cruz",26,142,501,70,"CIN",0.8,"spotrac",0.79,0.9875,0.984158415841584,"Undervalued"
"James Wood",30,123,463,74,"WSH",0.8069,"spotrac",0.789,0.97781633411823,0.982178217821782,"Undervalued"
"Colson Montgomery",31,109,521,83,"CHW",0.7985,"spotrac",0.761,0.953036944270507,0.98019801980198,"Undervalued"
"Julio Rodríguez",21,129,539,64,NA,0.72,"league_minimum_default",0.681,0.945833333333333,0.978217821782178,"Undervalued"
"Wilyer Abreu",24,139,544,71,"BOS",0.81,"spotrac",0.753,0.929629629629629,0.976237623762376,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.974257425742574,"Undervalued"
"Drake Baldwin",23,135,489,71,"ATL",0.8,"spotrac",0.727,0.90875,0.972277227722772,"Undervalued"
"TJ Rumfield",15,147,499,67,NA,0.72,"league_minimum_default",0.651,0.904166666666667,0.97029702970297,"Undervalued"
"Brooks Lee",23,130,524,79,"MIN",0.79305,"spotrac",0.712,0.897799634323182,0.968316831683168,"Undervalued"
"Jonathan Aranda",19,148,535,86,"TB",0.7964,"spotrac",0.71,0.891511803114013,0.966336633663366,"Undervalued"
"Iván Herrera",16,138,554,64,NA,0.72,"league_minimum_default",0.638,0.886111111111111,0.964356435643564,"Undervalued"
"Dillon Dingler",26,125,509,85,"DET",0.8349,"spotrac",0.739,0.885135944424482,0.962376237623762,"Undervalued"
"Daylen Lile",20,138,554,81,"WSH",0.786,"spotrac",0.694,0.88295165394402,0.96039603960396,"Undervalued"
"Kody Clemens",26,114,474,74,"MIN",0.8039,"spotrac",0.706,0.87821868391591,0.958415841584158,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.956435643564356,"Undervalued"
"Carson Benge",16,144,530,55,"NYM",0.78,"spotrac",0.656,0.841025641025641,0.954455445544554,"Undervalued"
"Carter Jensen",23,109,476,69,"KC",0.78115,"spotrac",0.649,0.830826345772259,0.952475247524752,"Undervalued"
