"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",41,165,600,97,"TB",0.7948,"spotrac",1.069,1.34499245093105,1,"Undervalued"
"Sal Stewart",32,161,602,110,"CIN",0.7815,"spotrac",0.931,1.191298784389,0.998069498069498,"Undervalued"
"Luis García Jr.",30,141,509,91,NA,0.72,"league_minimum_default",0.843,1.17083333333333,0.996138996138996,"Undervalued"
"Ben Rice",39,145,558,95,"NYY",0.8458,"spotrac",0.981,1.15984866398676,0.994208494208494,"Undervalued"
"Yandy Díaz",22,175,602,85,NA,0.72,"league_minimum_default",0.833,1.15694444444444,0.992277992277992,"Undervalued"
"Hunter Goodman",39,121,498,82,"COL",0.81,"spotrac",0.909,1.12222222222222,0.99034749034749,"Undervalued"
"Miguel Vargas",33,144,574,89,"CHW",0.8057,"spotrac",0.894,1.1095941417401,0.988416988416988,"Undervalued"
"Jordan Walker",28,161,590,100,"STL",0.7994,"spotrac",0.875,1.09457092819615,0.986486486486487,"Undervalued"
"Elly De La Cruz",29,155,539,76,"CIN",0.8,"spotrac",0.871,1.08875,0.984555984555985,"Undervalued"
"James Wood",30,132,499,76,"WSH",0.8069,"spotrac",0.816,1.01127772958235,0.982625482625483,"Undervalued"
"Julio Rodríguez",21,142,579,66,NA,0.72,"league_minimum_default",0.72,1,0.980694980694981,"Undervalued"
"Drake Baldwin",24,151,531,77,"ATL",0.8,"spotrac",0.789,0.98625,0.978764478764479,"Undervalued"
"Jonathan Aranda",22,157,567,92,"TB",0.7964,"spotrac",0.779,0.978151682571572,0.976833976833977,"Undervalued"
"Brooks Lee",24,145,569,83,"MIN",0.79305,"spotrac",0.771,0.972195952335918,0.974903474903475,"Undervalued"
"Colson Montgomery",31,112,551,87,"CHW",0.7985,"spotrac",0.77,0.964308077645585,0.972972972972973,"Undervalued"
"TJ Rumfield",15,159,534,70,NA,0.72,"league_minimum_default",0.687,0.954166666666666,0.971042471042471,"Undervalued"
"Carson Benge",19,159,574,62,"NYM",0.78,"spotrac",0.743,0.952564102564103,0.969111969111969,"Undervalued"
"Wilyer Abreu",24,145,578,74,"BOS",0.81,"spotrac",0.771,0.951851851851852,0.967181467181467,"Undervalued"
"Iván Herrera",18,144,587,68,NA,0.72,"league_minimum_default",0.684,0.95,0.965250965250965,"Undervalued"
"Daylen Lile",22,146,590,88,"WSH",0.786,"spotrac",0.746,0.94910941475827,0.963320463320463,"Undervalued"
"Jac Caglianone",23,140,495,71,"KC",0.784,"spotrac",0.742,0.946428571428571,0.961389961389961,"Undervalued"
"Dillon Dingler",27,132,539,89,"DET",0.8349,"spotrac",0.774,0.92705713259073,0.959459459459459,"Undervalued"
"Kody Clemens",26,122,517,76,"MIN",0.8039,"spotrac",0.73,0.908073143425799,0.957528957528958,"Undervalued"
"Carter Jensen",25,119,511,76,"KC",0.78115,"spotrac",0.707,0.905075849708763,0.955598455598456,"Undervalued"
"Otto Lopez",11,186,612,71,"MIA",0.8105,"spotrac",0.712,0.878470080197409,0.953667953667954,"Undervalued"
"Jeremy Peña",20,117,426,51,NA,0.72,"league_minimum_default",0.631,0.876388888888889,0.951737451737452,"Undervalued"
"Heriberto Hernández",24,98,430,64,NA,0.72,"league_minimum_default",0.63,0.875,0.94980694980695,"Undervalued"
"Andy Pages",21,134,495,80,"LAD",0.8,"spotrac",0.696,0.87,0.947876447876448,"Undervalued"
"Chase Meidroth",16,151,557,63,"CHW",0.7891,"spotrac",0.677,0.857939424661006,0.945945945945946,"Undervalued"
