"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",38,153,547,92,"TB",0.7948,"spotrac",0.991,1.24685455460493,1,"Undervalued"
"Sal Stewart",31,147,549,107,"CIN",0.7815,"spotrac",0.875,1.11964171465131,0.998015873015873,"Undervalued"
"Yandy Díaz",21,167,548,77,NA,0.72,"league_minimum_default",0.795,1.10416666666667,0.996031746031746,"Undervalued"
"Luis García Jr.",28,131,461,88,NA,0.72,"league_minimum_default",0.785,1.09027777777778,0.994047619047619,"Undervalued"
"Jordan Walker",28,156,549,100,"STL",0.7994,"spotrac",0.86,1.07580685514136,0.992063492063492,"Undervalued"
"Ben Rice",36,133,513,88,"NYY",0.8458,"spotrac",0.903,1.06762828091747,0.990079365079365,"Undervalued"
"Hunter Goodman",36,114,458,76,"COL",0.81,"spotrac",0.846,1.04444444444444,0.988095238095238,"Undervalued"
"Miguel Vargas",30,132,523,79,"CHW",0.8057,"spotrac",0.816,1.01278391460841,0.986111111111111,"Undervalued"
"James Wood",30,121,452,74,"WSH",0.8069,"spotrac",0.783,0.970380468459536,0.984126984126984,"Undervalued"
"Colson Montgomery",31,108,510,82,"CHW",0.7985,"spotrac",0.758,0.949279899812148,0.982142857142857,"Undervalued"
"Jac Caglianone",23,134,474,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.98015873015873,"Undervalued"
"Julio Rodríguez",20,127,528,61,NA,0.72,"league_minimum_default",0.661,0.918055555555556,0.978174603174603,"Undervalued"
"Elly De La Cruz",23,137,490,66,"CIN",0.8,"spotrac",0.733,0.91625,0.976190476190476,"Undervalued"
"Wilyer Abreu",23,137,535,70,"BOS",0.81,"spotrac",0.733,0.904938271604938,0.974206349206349,"Undervalued"
"TJ Rumfield",15,146,489,67,NA,0.72,"league_minimum_default",0.648,0.9,0.972222222222222,"Undervalued"
"Brooks Lee",23,128,512,79,"MIN",0.79305,"spotrac",0.706,0.89023390706765,0.970238095238095,"Undervalued"
"Jonathan Aranda",19,147,526,86,"TB",0.7964,"spotrac",0.707,0.88774485183325,0.968253968253968,"Undervalued"
"Daylen Lile",20,139,543,82,"WSH",0.786,"spotrac",0.697,0.88676844783715,0.966269841269841,"Undervalued"
"Dillon Dingler",26,124,502,83,"DET",0.8349,"spotrac",0.736,0.881542699724518,0.964285714285714,"Undervalued"
"Drake Baldwin",22,132,474,69,"ATL",0.8,"spotrac",0.704,0.88,0.962301587301587,"Undervalued"
"Iván Herrera",16,136,542,64,NA,0.72,"league_minimum_default",0.632,0.877777777777778,0.96031746031746,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.958333333333333,"Undervalued"
"Carson Benge",16,143,519,54,"NYM",0.78,"spotrac",0.653,0.837179487179487,0.956349206349206,"Undervalued"
"Kody Clemens",24,110,463,71,"MIN",0.8039,"spotrac",0.666,0.828461251399428,0.954365079365079,"Undervalued"
"Heriberto Hernández",24,86,374,63,NA,0.72,"league_minimum_default",0.594,0.825,0.952380952380952,"Undervalued"
