"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",37,147,522,87,"TB",0.7948,"spotrac",0.959,1.20659285354806,1,"Undervalued"
"Sal Stewart",31,141,530,105,"CIN",0.7815,"spotrac",0.857,1.09660908509277,0.998003992015968,"Undervalued"
"Luis García Jr.",28,127,446,88,NA,0.72,"league_minimum_default",0.773,1.07361111111111,0.996007984031936,"Undervalued"
"Yandy Díaz",20,157,523,75,NA,0.72,"league_minimum_default",0.751,1.04305555555556,0.994011976047904,"Undervalued"
"Hunter Goodman",36,112,440,73,"COL",0.81,"spotrac",0.84,1.03703703703704,0.992015968063872,"Undervalued"
"Jordan Walker",27,149,522,97,"STL",0.7994,"spotrac",0.825,1.03202401801351,0.99001996007984,"Undervalued"
"Ben Rice",35,124,492,86,"NYY",0.8458,"spotrac",0.862,1.01915346417593,0.988023952095808,"Undervalued"
"Miguel Vargas",29,124,498,76,"CHW",0.8057,"spotrac",0.778,0.96561995780067,0.986027944111776,"Undervalued"
"James Wood",30,116,437,73,"WSH",0.8069,"spotrac",0.768,0.951790804312802,0.984031936127745,"Undervalued"
"Jac Caglianone",23,130,457,66,"KC",0.784,"spotrac",0.712,0.908163265306122,0.982035928143713,"Undervalued"
"Colson Montgomery",29,104,487,77,"CHW",0.7985,"spotrac",0.718,0.899185973700689,0.980039920159681,"Undervalued"
"Julio Rodríguez",20,122,501,57,NA,0.72,"league_minimum_default",0.646,0.897222222222222,0.978043912175649,"Undervalued"
"Wilyer Abreu",23,131,515,70,"BOS",0.81,"spotrac",0.715,0.882716049382716,0.976047904191617,"Undervalued"
"Daylen Lile",20,135,526,80,"WSH",0.786,"spotrac",0.685,0.871501272264631,0.974051896207585,"Undervalued"
"Andy Pages",21,134,493,80,"LAD",0.8,"spotrac",0.696,0.87,0.972055888223553,"Undervalued"
"Dillon Dingler",26,120,483,82,"DET",0.8349,"spotrac",0.724,0.867169720924662,0.970059880239521,"Undervalued"
"Drake Baldwin",22,126,452,68,"ATL",0.8,"spotrac",0.686,0.8575,0.968063872255489,"Undervalued"
"Brooks Lee",22,122,492,76,"MIN",0.79305,"spotrac",0.674,0.849883361704811,0.966067864271457,"Undervalued"
"Elly De La Cruz",21,127,470,60,"CIN",0.8,"spotrac",0.675,0.84375,0.964071856287425,"Undervalued"
"Jonathan Aranda",17,140,506,79,"TB",0.7964,"spotrac",0.658,0.826217980914113,0.962075848303393,"Undervalued"
"TJ Rumfield",13,136,469,61,NA,0.72,"league_minimum_default",0.59,0.819444444444444,0.960079840319361,"Undervalued"
"Carson Benge",16,138,499,54,"NYM",0.78,"spotrac",0.638,0.817948717948718,0.958083832335329,"Undervalued"
"Kody Clemens",23,106,446,69,"MIN",0.8039,"spotrac",0.64,0.796118920263714,0.956087824351297,"Undervalued"
"Iván Herrera",14,125,514,55,NA,0.72,"league_minimum_default",0.571,0.793055555555556,0.954091816367265,"Undervalued"
"Otto Lopez",10,164,538,61,"MIA",0.8105,"spotrac",0.632,0.779765576804442,0.952095808383233,"Undervalued"
"Jazz Chisholm Jr.",18,101,443,54,NA,0.72,"league_minimum_default",0.555,0.770833333333333,0.950099800399202,"Undervalued"
"Heriberto Hernández",22,81,351,58,NA,0.72,"league_minimum_default",0.551,0.765277777777778,0.94810379241517,"Undervalued"
"Liam Hicks",17,122,421,75,"TB",0.79,"spotrac",0.604,0.764556962025316,0.946107784431138,"Undervalued"
"Casey Schmitt",21,105,387,55,"SF",0.81,"spotrac",0.609,0.751851851851852,0.944111776447106,"Undervalued"
"Cole Young",16,122,500,57,"SEA",0.7861,"spotrac",0.59,0.75054064368401,0.942115768463074,"Undervalued"
"Jeremy Peña",17,99,349,46,NA,0.72,"league_minimum_default",0.535,0.743055555555556,0.940119760479042,"Undervalued"
"Mauricio Dubón",10,131,489,64,NA,0.72,"league_minimum_default",0.533,0.740277777777778,0.93812375249501,"Undervalued"
"Carter Jensen",19,99,447,61,"KC",0.78115,"spotrac",0.563,0.720732253728477,0.936127744510978,"Undervalued"
"Nick Kurtz",21,90,352,69,"ATH",0.785,"spotrac",0.564,0.718471337579618,0.934131736526946,"Undervalued"
"Dominic Canzone",20,97,380,61,"SEA",0.7966,"spotrac",0.571,0.716796384634697,0.932135728542914,"Undervalued"
"Chase Meidroth",12,132,487,51,"CHW",0.7891,"spotrac",0.564,0.714738309466481,0.930139720558882,"Undervalued"
"Chase DeLauter",13,125,427,60,"CLE",0.78,"spotrac",0.557,0.714102564102564,0.92814371257485,"Undervalued"
"Eugenio Suárez",20,77,373,59,NA,0.72,"league_minimum_default",0.511,0.709722222222222,0.926147704590818,"Undervalued"
"Michael Busch",17,124,519,68,"CHC",0.86,"spotrac",0.61,0.709302325581395,0.924151696606786,"Undervalued"
"Tristan Peters",12,103,370,52,NA,0.72,"league_minimum_default",0.477,0.6625,0.922155688622755,"Undervalued"
"Nick Gonzales",6,148,482,57,"PIT",0.8016,"spotrac",0.528,0.658682634730539,0.920159680638723,"Undervalued"
"Cam Smith",17,93,434,50,"HOU",0.8099,"spotrac",0.517,0.638350413631312,0.918163672654691,"Undervalued"
