"Name","HR","H","AB","RBI","Team","salary_millions","salary_source","estimated_war","value_score","vs_pct","status"
"Junior Caminero",40,159,570,95,"TB",0.7948,"spotrac",1.037,1.30473074987418,1,"Undervalued"
"Luis García Jr.",30,139,485,91,NA,0.72,"league_minimum_default",0.837,1.1625,0.998039215686275,"Undervalued"
"Yandy Díaz",22,173,574,81,NA,0.72,"league_minimum_default",0.827,1.14861111111111,0.996078431372549,"Undervalued"
"Sal Stewart",31,154,575,107,"CIN",0.7815,"spotrac",0.896,1.14651311580294,0.994117647058824,"Undervalued"
"Ben Rice",38,140,533,92,"NYY",0.8458,"spotrac",0.952,1.12556159848664,0.992156862745098,"Undervalued"
"Hunter Goodman",38,118,482,81,"COL",0.81,"spotrac",0.886,1.09382716049383,0.990196078431373,"Undervalued"
"Jordan Walker",28,160,569,100,"STL",0.7994,"spotrac",0.872,1.09081811358519,0.988235294117647,"Undervalued"
"Miguel Vargas",31,137,551,81,"CHW",0.8057,"spotrac",0.845,1.04877746059327,0.986274509803922,"Undervalued"
"Elly De La Cruz",27,147,518,72,"CIN",0.8,"spotrac",0.819,1.02375,0.984313725490196,"Undervalued"
"James Wood",30,127,474,75,"WSH",0.8069,"spotrac",0.801,0.992688065435618,0.982352941176471,"Undervalued"
"Julio Rodríguez",21,134,556,65,NA,0.72,"league_minimum_default",0.696,0.966666666666667,0.980392156862745,"Undervalued"
"Colson Montgomery",31,109,533,84,"CHW",0.7985,"spotrac",0.761,0.953036944270507,0.97843137254902,"Undervalued"
"Wilyer Abreu",24,143,556,74,"BOS",0.81,"spotrac",0.765,0.944444444444444,0.976470588235294,"Undervalued"
"Jonathan Aranda",21,152,546,89,"TB",0.7964,"spotrac",0.75,0.941737820190859,0.974509803921569,"Undervalued"
"Drake Baldwin",23,141,506,75,"ATL",0.8,"spotrac",0.745,0.93125,0.972549019607843,"Undervalued"
"TJ Rumfield",15,153,512,69,NA,0.72,"league_minimum_default",0.669,0.929166666666667,0.970588235294118,"Undervalued"
"Jac Caglianone",23,134,477,70,"KC",0.784,"spotrac",0.724,0.923469387755102,0.968627450980392,"Undervalued"
"Brooks Lee",23,133,539,79,"MIN",0.79305,"spotrac",0.721,0.909148225206481,0.966666666666667,"Undervalued"
